Vmem,tun,Energy
0,6.527551E-01,2.997215E-13
0,6.535257E-01,3.005128E-13
0,6.542967E-01,3.013072E-13
0,6.550674E-01,3.021001E-13
0,6.558393E-01,3.028719E-13
0,6.566117E-01,3.036650E-13
0,6.573846E-01,3.044594E-13
0,6.581580E-01,3.052594E-13
0,6.589318E-01,3.060576E-13
0,6.597061E-01,3.068568E-13
0,6.604809E-01,3.075852E-13
0,6.612561E-01,3.084592E-13
0,6.620318E-01,3.092622E-13
0,6.627803E-01,3.099417E-13
0,6.635561E-01,3.107455E-13
0,6.643323E-01,3.115504E-13
0,6.651090E-01,3.123569E-13
0,6.658861E-01,3.131356E-13
0,6.666637E-01,3.139455E-13
0,6.674417E-01,3.147531E-13
0,6.682200E-01,3.155952E-13
0,6.689985E-01,3.164055E-13
0,6.687898E-01,3.161883E-13
0,6.695608E-01,3.169904E-13
0,6.703321E-01,3.177925E-13
0,6.711038E-01,3.186019E-13
0,6.718758E-01,3.193893E-13
0,6.726482E-01,3.202322E-13
0,6.734210E-01,3.210374E-13
0,6.741940E-01,3.218386E-13
0,6.749675E-01,3.226409E-13
0,6.757412E-01,3.234818E-13
0,6.765153E-01,3.242963E-13
0,6.772898E-01,3.251007E-13
0,6.780645E-01,3.259086E-13
0,6.788396E-01,3.267142E-13
0,6.796150E-01,3.274510E-13
0,6.803908E-01,3.282636E-13
0,6.811668E-01,3.290656E-13
0,6.819432E-01,3.298799E-13
0,6.827199E-01,3.306914E-13
0,6.834969E-01,3.315032E-13
0,6.842742E-01,3.323155E-13
0,6.850518E-01,3.331308E-13
0,6.858298E-01,3.339451E-13
0,6.866080E-01,3.347611E-13
0,6.873865E-01,3.354543E-13
0,6.881653E-01,3.362580E-13
0,6.889444E-01,3.370590E-13
0,6.897240E-01,3.380176E-13
0,6.905037E-01,3.387405E-13
0,6.912837E-01,3.395614E-13
0,6.920639E-01,3.403827E-13
0,6.928445E-01,3.412995E-13
0,6.936253E-01,3.421996E-13
0,6.944064E-01,3.430216E-13
0,6.951878E-01,3.438391E-13
0,6.959694E-01,3.446636E-13
0,6.967513E-01,3.454888E-13
0,6.975335E-01,3.461813E-13
0,6.983159E-01,3.470084E-13
0,6.990986E-01,3.478370E-13
0,6.998815E-01,3.486652E-13
0,7.006647E-01,3.494942E-13
0,7.014482E-01,3.503215E-13
0,7.022321E-01,3.511525E-13
0,7.030170E-01,3.519868E-13
0,7.038022E-01,3.528197E-13
0,7.045876E-01,3.536557E-13
0,7.053734E-01,3.544901E-13
0,7.061593E-01,3.553271E-13
0,7.069456E-01,3.561627E-13
0,7.077321E-01,3.569961E-13
0,7.085188E-01,3.578330E-13
0,7.093058E-01,3.586651E-13
0,7.100930E-01,3.594998E-13
0,7.108805E-01,3.603425E-13
0,7.116682E-01,3.611772E-13
0,7.124562E-01,3.620128E-13
0,7.132444E-01,3.628297E-13
0,7.140329E-01,3.636590E-13
0,7.148216E-01,3.644928E-13
0,7.156323E-01,3.653453E-13
0,7.164215E-01,3.661508E-13
0,7.172110E-01,3.669818E-13
0,7.180007E-01,3.678140E-13
0,7.187907E-01,3.686672E-13
0,7.195808E-01,3.694998E-13
0,7.203711E-01,3.703545E-13
0,7.211617E-01,3.711890E-13
0,7.219524E-01,3.720192E-13
